k,attack_type,attack_id,truth_count,precision,recall,f1,jaccard
100,CAPEC,485,17,0.06,0.35294117647058826,0.10256410256410256,0.05405405405405406
150,CAPEC,485,17,0.06,0.5294117647058824,0.10778443113772455,0.056962025316455694
200,CAPEC,485,17,0.055,0.6470588235294118,0.10138248847926266,0.05339805825242718
10,Procedure,S0386,219,0.4,0.0182648401826484,0.034934497816593885,0.017777777777777778
20,Procedure,S0386,219,0.35,0.0319634703196347,0.05857740585774058,0.03017241379310345
30,Procedure,S0386,219,0.4,0.0547945205479452,0.09638554216867469,0.05063291139240506
40,Procedure,S0386,219,0.4,0.0730593607305936,0.12355212355212354,0.06584362139917696
50,Procedure,S0386,219,0.34,0.0776255707762557,0.12639405204460966,0.06746031746031746
100,Procedure,S0386,219,0.31,0.1415525114155251,0.19435736677115986,0.1076388888888889
150,Procedure,S0386,219,0.34,0.2328767123287671,0.2764227642276423,0.16037735849056603
200,Procedure,S0386,219,0.35,0.319634703196347,0.33412887828162285,0.20057306590257878
10,Procedure,S0021,118,0.2,0.01694915254237288,0.03125,0.015873015873015872
20,Procedure,S0021,118,0.25,0.0423728813559322,0.07246376811594203,0.03759398496240601
30,Procedure,S0021,118,0.26666666666666666,0.06779661016949153,0.10810810810810811,0.05714285714285714
40,Procedure,S0021,118,0.225,0.07627118644067797,0.11392405063291139,0.06040268456375839
50,Procedure,S0021,118,0.22,0.09322033898305085,0.13095238095238096,0.07006369426751592
100,Procedure,S0021,118,0.21,0.17796610169491525,0.1926605504587156,0.1065989847715736
150,Procedure,S0021,118,0.23333333333333334,0.2966101694915254,0.2611940298507463,0.15021459227467812
200,Procedure,S0021,118,0.235,0.3983050847457627,0.2955974842767296,0.17343173431734318
10,Procedure,G1011,26,0.0,0.0,0.0,0.0
20,Procedure,G1011,26,0.1,0.07692307692307693,0.08695652173913043,0.045454545454545456
30,Procedure,G1011,26,0.13333333333333333,0.15384615384615385,0.14285714285714288,0.07692307692307693
40,Procedure,G1011,26,0.1,0.15384615384615385,0.12121212121212123,0.06451612903225806
50,Procedure,G1011,26,0.1,0.19230769230769232,0.13157894736842105,0.07042253521126761
100,Procedure,G1011,26,0.09,0.34615384615384615,0.14285714285714288,0.07692307692307693
150,Procedure,G1011,26,0.07333333333333333,0.4230769230769231,0.12500000000000003,0.06666666666666667
200,Procedure,G1011,26,0.055,0.4230769230769231,0.09734513274336283,0.05116279069767442
10,Procedure,S0554,49,0.0,0.0,0.0,0.0
20,Procedure,S0554,49,0.05,0.02040816326530612,0.02898550724637681,0.014705882352941176
30,Procedure,S0554,49,0.06666666666666667,0.04081632653061224,0.050632911392405056,0.025974025974025976
40,Procedure,S0554,49,0.05,0.04081632653061224,0.04494382022471909,0.022988505747126436
50,Procedure,S0554,49,0.04,0.04081632653061224,0.0404040404040404,0.020618556701030927
100,Procedure,S0554,49,0.05,0.10204081632653061,0.06711409395973156,0.034722222222222224
150,Procedure,S0554,49,0.04666666666666667,0.14285714285714285,0.07035175879396985,0.036458333333333336
